47
501 15
368 68567 +
86 75874 +
48 -73415 -
307 -97805 -
411 -49205 +
371 -51851 +
20 -85881 -
146 89156 -
395 -60148 +
110 48885 +
158 -56643 -
355 8345 -
439 91833 +
33 69334 -
225 94945 -
95091 266
39253 76127 +
4103 34822 -
88418 12105 +
63811 -48248 -
67441 -70257 +
33926 -19262 -
52702 -1141 -
33155 77214 -
59839 20798 +
88600 -37910 -
44245 -11768 +
85297 32209 -
25337 -54469 +
24402 -32789 -
74307 81644 -
32562 31857 +
93853 97958 +
69286 99630 +
34401 -77912 +
81270 79929 +
23572 73547 +
43859 -40443 -
43864 -65704 +
46704 -42701 -
66014 67481 -
50347 6749 -
73573 9796 -
30867 83618 -
28893 16677 -
43373 -95585 +
5313 53369 +
27821 38325 +
89635 30170 +
35328 50597 -
43265 15636 +
24958 -31608 -
62972 -8677 -
26081 -23622 +
25790 -29520 +
50529 2677 +
35342 -30549 -
80969 -30946 +
83558 -9024 +
26793 49621 -
32122 -57810 +
37273 50135 +
77263 -11399 +
19872 75117 +
43571 -70365 -
49445 -33607 -
53720 72376 +
33661 -17269 +
90302 51308 -
19407 -9215 +
305 61977 +
70556 44691 +
49690 -29207 -
56685 35387 -
82275 -68628 -
68670 -84966 -
68509 -69845 -
59230 38112 -
66880 43649 +
70220 27222 -
27653 57712 -
10264 -54044 +
46677 91271 -
73709 63431 -
53743 -59228 -
15450 -68830 -
17727 14065 -
17675 -98115 -
30648 -999 +
31453 -7011 -
17888 -57745 -
69849 -21475 -
25819 -93129 -
48965 -75246 +
29210 96610 +
29384 -19095 +
22268 -88689 +
20863 87181 +
31133 -4108 -
83571 14077 -
65457 95817 +
10442 -58033 +
65175 -40053 +
51742 -94739 -
84347 23269 -
83722 -68143 -
35451 66059 -
44269 63692 +
60526 -31290 -
22063 -2930 -
47885 -36639 -
17732 -86245 +
74037 -45447 -
28105 32521 +
34563 23693 +
79023 -14703 -
34912 -33828 +
81155 86063 +
45257 -99309 -
39589 27545 +
93058 -81873 +
48257 70858 +
15795 64712 +
33971 -19327 -
56180 13511 -
40720 -40132 +
52018 52953 -
71036 -19942 -
56424 -15560 +
52574 -62230 +
37045 -17139 +
29609 56406 +
32501 96187 +
86810 -76213 +
38048 24290 -
59984 23632 +
53121 66436 +
32983 -7492 -
11527 -26113 -
33691 21608 +
80627 -17185 -
51286 29585 -
6285 76846 +
89261 12989 -
69516 -66106 -
67630 -68232 -
17974 6359 -
83031 56981 +
85423 31811 -
65286 56823 +
88265 19399 +
49626 -10617 -
88454 -78628 -
86344 26451 +
9496 67725 +
58384 -5132 -
87784 -92310 +
67877 97506 +
19524 99777 -
82877 -65702 -
94911 63258 -
69060 -90018 -
26356 29182 +
54443 74055 +
78432 -91588 +
51175 21892 +
64078 41506 +
60467 -99525 +
31741 -38355 -
43545 -11850 -
33507 -89594 -
84301 -63296 -
83582 75021 +
27038 -2610 -
37881 39136 -
22869 -14464 +
27760 -95016 -
17357 85253 +
27347 78959 -
10739 -95398 -
68076 98373 -
49527 19117 -
88364 97693 +
25081 -6947 -
5685 762 +
73234 -49043 +
73501 56793 +
43946 19970 +
10650 29118 -
50710 89315 +
39085 -72504 +
24111 33440 +
19706 5394 -
76708 67764 +
15643 29842 -
49165 -78777 -
82033 -38104 +
70875 -21095 -
5508 -74915 -
4211 -1133 -
89755 89734 -
66921 -23639 +
10101 45164 -
84967 -75206 -
41738 -93792 +
10674 -46419 +
30597 50747 -
86165 94847 +
79758 2640 -
46720 81 +
23066 -15778 +
71226 78955 +
83000 -84859 -
51663 55598 +
875 -75052 -
60806 -81555 +
2496 -99302 +
73458 54927 +
83871 -59741 +
23506 -91848 -
88326 -63295 -
50925 22665 -
29506 49978 +
18084 -80756 -
44103 60442 -
78561 94802 +
31992 24945 -
66449 78039 +
51214 85913 -
4052 -31058 -
91803 79798 +
23274 58939 -
25367 -44125 +
93564 16653 +
83540 -23283 -
68180 84171 -
59174 -20607 -
26164 54086 +
90881 -44767 -
49927 -20793 +
72840 -27363 -
64854 -67013 +
64554 -64295 -
74354 -95976 +
58573 -46548 -
82078 68521 -
43387 21454 +
87800 -25033 -
65419 -27691 +
10989 59477 -
11151 -41811 -
32283 -74652 +
45355 9302 -
22062 18601 +
61570 20305 -
19724 94192 -
87419 -92843 -
3929 70050 -
88819 3119 +
4423 61978 +
91271 -44651 +
30347 61206 +
3887 78505 -
79977 -66375 -
90555 23063 -
26576 11260 -
83341 26709 +
47047 22874 -
45949 -37959 -
68680 17877 +
19686 -83961 -
26435 -7950 -
22758 44365 -
39086 -88015 +
31503 10544 -
69380 34742 +
84910 75036 -
27107 39974 -
17167 29112 -
32849 -74352 -
58842 -92398 +
66978 58984 -
22904 274
19683 -35061 +
19339 -76429 +
4874 74600 +
21171 -25937 +
13820 79623 -
15502 66340 -
9311 57462 -
10527 -28620 +
6790 -86817 -
8541 53760 +
10778 63985 +
16045 -96664 -
2420 -17188 +
11742 -23724 -
13862 -30333 -
5718 -16237 +
6358 12299 -
9599 32381 -
22533 -97825 -
18895 29704 -
5440 17445 -
10798 -31255 -
1203 -62256 +
15883 28078 -
14474 43150 -
17950 90852 -
17310 23667 -
9249 -6900 -
19167 20987 +
12824 57756 +
20768 88025 -
1734 16573 -
13614 54601 -
11135 66963 -
11604 83533 -
10219 -91270 +
2276 10663 +
12007 -30883 +
3328 -39276 +
410 -28883 +
19390 78719 -
8581 -49765 -
3137 13477 -
1721 20195 +
13823 -22009 -
9190 82126 -
1154 51748 +
87 36335 -
9188 -37828 +
9029 97101 -
18252 -99688 -
22823 -13113 -
17677 -22866 -
2391 -68744 +
4594 44960 +
5591 -79881 -
6033 27704 +
20175 -17862 +
21434 -12874 +
198 46029 -
20159 -50605 -
2432 13093 -
22155 80340 +
15298 56521 +
1045 -51973 -
17562 -2407 -
18703 63279 +
13965 61253 -
