17
76504 734
65514 -58939 +
7037 64456 +
73192 66022 -
49628 22558 +
735 34613 +
67230 51693 -
36054 -4402 +
32464 -2625 -
16786 26493 +
13217 21050 +
65753 55874 -
59803 -49969 -
13260 -64425 +
31908 34690 -
65212 57818 -
31874 -34632 +
41111 -38381 -
6928 -64835 +
16488 36413 -
73476 -48967 -
18461 11499 +
5648 17046 +
22082 -80934 +
58018 -62652 -
2418 -9660 +
56396 -18198 -
21583 17685 +
24185 64103 -
59242 -52236 -
6835 -41779 +
69754 81152 -
6630 -74813 -
51102 -6937 +
69077 -38011 +
74796 -95373 -
54843 22857 -
42906 16983 +
36010 -27342 +
51777 83654 +
38530 9366 +
54569 -65553 -
58110 -45318 +
43133 -49136 -
5387 60812 +
40340 24591 -
58771 -96081 +
11144 -3765 -
74583 51381 +
39827 71302 -
71032 -57672 -
21214 -17977 -
19504 64662 -
51413 -94125 +
71749 63203 -
29549 -65708 -
54929 37620 -
53325 20515 -
54305 -69868 -
48166 16304 -
20102 63582 +
42866 -2697 -
30227 -20303 -
47245 -35357 +
73703 -91163 -
43774 93333 -
3156 -76749 +
65143 -4730 +
18046 20284 -
3627 -68152 -
8961 -86690 +
71221 55506 -
52034 -8566 +
67299 77634 +
24324 89603 -
17118 -25732 +
17423 57146 -
16899 46925 -
76269 -75874 +
48030 -14897 +
46138 -98236 -
54826 49525 +
11144 48678 -
48699 61752 -
63755 -99995 -
60829 95755 -
11651 7024 +
19156 10741 +
1324 -23948 -
14774 -61836 -
62353 -61547 -
28373 34667 -
50766 8720 -
11301 -17370 +
38334 50183 -
50064 -86057 -
45965 58149 +
11568 -64877 +
46722 -19948 -
27685 71354 +
55418 -37607 -
70279 25206 -
25768 83807 -
17737 88977 +
4121 -88936 -
996 72333 +
36775 52178 -
33136 35772 +
69088 56656 -
28227 75819 -
31473 -19747 +
63447 -7542 -
3304 -10348 +
38088 -82137 +
57662 -77808 +
27051 -44647 +
403 50612 -
34246 -85511 -
52098 23044 +
71474 34224 -
35832 44504 +
37865 56934 +
29130 52493 -
17879 -75648 +
28690 -32869 +
60602 -9279 -
47706 13643 +
41230 38611 +
61589 -24621 +
58390 -21356 -
12649 -41714 -
51843 29468 +
15446 43145 -
15874 -34928 +
31833 55165 -
24279 62314 -
72790 35528 +
22115 -50328 -
16844 12421 +
29482 -37306 +
4082 -5254 +
42741 36997 +
64751 -17744 -
40285 -37303 -
74811 40736 +
10505 42337 +
52842 -58733 -
1309 48455 -
23966 -58701 +
75406 -77265 +
67147 -12048 -
13945 -57697 +
13501 61557 +
43105 -84291 +
73968 -29131 -
34583 -62614 +
51143 -2061 +
71743 8979 +
13202 7220 -
38503 17887 -
72628 59712 -
21548 13878 +
29273 5471 -
41095 27668 +
22290 57180 +
4978 -13290 +
17133 -73036 -
3326 43137 -
9764 -86445 +
64338 79740 +
26238 45937 -
32090 42089 -
10953 -37513 +
54277 48908 -
39158 -11467 +
8210 74847 +
21321 -40315 +
61122 25960 -
64916 68177 -
46363 -88556 +
38759 92999 -
48935 -97023 +
2395 -45730 +
47643 -41470 +
45654 1377 +
9145 25109 +
24588 75991 -
44087 -67488 -
45020 -25165 +
73890 -45733 -
58578 17331 -
48040 -15934 +
59455 49056 -
64205 -56967 +
11368 47618 -
928 -46742 -
23464 12484 -
27377 74982 +
51933 37275 +
68678 -66827 -
46079 68087 +
48256 97844 -
22057 -55209 +
9015 -32495 +
22704 -10868 +
11981 -60433 +
59013 72386 +
2939 56810 +
24852 42101 +
76499 -85820 -
45409 66161 -
31094 20408 +
15556 -69290 -
56910 78812 -
71983 -98684 +
29560 4246 +
33946 -8100 +
43716 25865 +
1069 90324 +
12132 -42030 -
67877 -48530 +
37864 45224 -
56602 11854 -
49548 62594 +
53809 -1935 +
37692 76014 +
27919 -56150 -
47531 -91174 +
25266 -49848 -
10948 8395 +
66055 42030 +
26446 5343 -
70474 12932 -
46914 8177 -
65967 -35341 -
56887 43859 -
24257 -50972 -
16688 94327 +
10044 -20134 -
61823 -44516 -
27656 -52138 -
26505 45831 -
38484 61858 +
20134 -48192 +
33913 -49637 -
75475 -32571 +
56435 37024 -
20606 82393 +
55342 -26463 -
5254 48019 -
17662 -54624 +
70447 -52765 +
67336 78160 +
17304 -43849 -
46345 69891 +
8756 -618 +
60816 -83349 -
47872 40083 +
5629 63699 -
56751 -61718 +
25892 -23146 -
2760 80317 -
49472 19248 -
7299 -65992 +
26564 23728 +
21117 -82982 -
32426 -6882 +
67211 43859 +
55041 71515 -
29085 -94263 +
62340 -74872 -
42408 -96146 -
27215 5292 +
74842 64986 +
44179 -36542 -
28629 67361 +
21084 38952 -
45375 -52997 -
68461 33854 +
48351 -43747 +
51943 -40949 +
42191 86681 -
27636 15416 +
41513 -74756 +
50163 -5574 +
1032 -6867 +
32188 -51977 +
50804 17393 +
54098 -26393 -
69298 98536 +
41033 94313 -
68401 38838 -
30272 29788 +
14766 -10856 +
63614 22345 -
9090 60734 -
23979 23194 -
20319 5478 +
27798 -85730 +
74621 36554 +
21645 -25312 +
48469 4414 -
12878 -86782 +
10918 -63962 -
5781 63424 -
35829 -52999 +
71752 -51811 +
20340 -36790 +
54329 98602 +
41138 42091 -
40218 -49741 -
13709 77406 -
47520 89789 +
24594 -85414 -
75894 -79817 -
58635 71606 +
20588 28543 +
59036 21788 +
45171 -99000 +
22990 97846 -
19210 87848 -
18274 36859 -
5056 17946 +
54488 -3794 -
72251 -26105 +
40180 -81722 -
74130 -85806 +
59684 54839 +
57815 -13565 -
51037 69809 -
6570 -30246 +
50853 -10362 -
32717 -73579 -
32960 -24245 -
63177 -32944 +
13348 47289 -
42768 26936 +
52970 -53853 -
62561 -92276 +
75516 36480 -
35931 -55369 +
72838 -47142 -
42336 -71037 -
75125 4601 +
17186 14370 +
66267 73627 +
3943 -57013 -
51210 -4434 -
28968 -36721 -
68993 -77722 +
30847 27192 +
52686 582 -
35578 69293 -
48768 -11503 -
23550 -57653 -
76233 96778 +
37330 -40992 +
67801 24845 +
58781 76410 +
23874 -18859 -
16909 44302 +
18454 19719 -
41539 54836 +
35315 -69854 -
2093 -16531 +
64281 -88931 -
34763 -91127 +
31900 43379 -
52526 -53168 -
432 90526 -
34756 22845 +
67034 18248 +
63031 53364 +
47366 33361 -
18068 56307 -
62832 30803 +
33557 -5508 +
26688 75416 +
53662 -90929 -
18321 2041 -
22470 -77973 +
53755 52835 -
11515 -90725 -
53495 -25672 -
38080 -27044 +
59259 62932 +
2545 -25200 -
25930 -89522 +
1358 80547 +
17584 86676 -
4469 -58010 +
15441 27716 +
48990 20439 +
20992 13682 -
6625 -53305 -
23137 64466 -
35142 6337 +
62745 98111 -
39524 48599 -
39274 70461 -
43201 63940 -
36371 70430 -
5514 26200 +
57109 93490 +
7341 71327 -
70472 36573 +
35886 -56418 +
16210 64102 +
54645 38681 -
15381 -23858 +
13190 82309 +
13167 -23273 -
28072 288 -
15733 -60557 +
64072 -14813 +
23624 7445 -
21247 -418 -
22642 -50248 -
73233 -70332 +
5543 32008 -
63458 -26070 -
20089 25404 -
1774 40771 +
19763 58107 -
26137 45290 +
51150 -63869 +
11575 20971 -
41064 -6016 +
65267 15697 -
69533 -36346 +
65782 -58634 -
55939 19582 -
20687 -48989 +
5368 -61668 +
44707 -81585 +
38960 45620 -
42734 40090 +
74227 55308 +
302 88330 +
10111 -8243 -
36941 -6290 -
35404 8944 -
74858 -77686 -
35285 96910 -
25158 -28540 -
70489 -17965 -
19657 73324 +
64103 -6971 -
42683 22801 +
34227 5623 +
50060 -59049 +
11324 74525 +
17106 -10490 -
23975 -97774 +
48417 78832 -
57968 -8837 +
52288 76039 +
32387 65005 +
73007 70702 +
36261 14936 -
52142 -28914 +
1128 20203 +
