68
53955 831
10081 -11955 -
51699 -25364 -
50370 87334 -
4412 -78525 -
31365 78629 -
14171 -69521 -
36071 85103 +
46189 -74081 -
11022 -35450 -
31328 -75282 +
26893 -19973 +
25537 63697 +
43467 84475 +
46560 32101 +
44831 -52473 +
45474 -94845 -
25128 45330 +
42431 -87839 +
50572 77945 +
28803 -60734 -
41826 -20759 +
32400 -7563 -
12944 16991 +
25459 4308 -
10403 -69317 +
3059 32939 +
12479 -78249 -
49936 -55226 -
26827 68916 -
15623 -93250 +
20326 -91723 +
13169 -89548 -
30929 -67561 +
44649 -55021 +
26614 13243 -
48765 1958 -
15980 -13429 +
45747 12651 +
41171 -32645 +
37403 -4963 -
40755 25368 -
53205 60361 +
24869 92118 -
14709 -50812 -
44068 26781 -
45040 74255 +
26119 -94730 -
23957 -36553 -
4035 -87859 -
16294 28606 +
30506 -86491 +
7021 -37299 +
7397 49749 +
927 -57458 +
32199 89192 -
48843 -92097 -
26872 899 +
12379 -80119 -
42678 16630 -
29964 63714 -
50650 89209 +
48532 70140 -
43505 -90778 -
50111 -84175 +
49602 29018 +
22229 -79992 -
47901 63335 +
50192 -41743 +
23138 -4960 +
36033 -92475 +
36810 73029 +
31471 50634 +
8886 -9284 -
26787 92306 -
20725 -52387 -
10939 -87987 +
17355 682 +
45958 64587 +
39307 27557 -
16095 93500 +
49757 3288 -
9504 85589 -
52805 -29297 +
26470 -43529 +
20032 -71701 +
10753 -17121 +
47328 -33651 -
5450 6496 -
26425 25078 +
6051 314 +
52281 -60223 +
42226 13680 -
52922 -41228 -
35560 -1866 -
52429 -55485 +
3215 39465 +
49549 19087 +
5760 -70631 +
36266 -3349 +
22898 -74092 -
4642 -97805 -
6292 -54764 +
38423 -39634 -
48926 74667 +
52144 55871 +
50423 28758 -
5245 -12092 -
36943 92118 -
20948 92070 -
28637 -69618 +
37764 25136 +
15134 36440 +
16046 35824 -
9981 -19314 +
27804 66521 -
7443 -57035 +
29236 6612 -
39960 99736 -
5966 19511 -
23260 17295 -
5042 16684 -
3998 -10463 +
25884 22959 -
13656 83862 -
42834 -44113 -
35728 -56073 +
3746 64433 -
22227 87987 +
17009 -14776 -
21842 -86425 -
37114 -30737 -
51411 -5024 +
42460 48676 +
41304 -96558 -
10865 46900 -
5192 89840 -
44587 -38757 -
15110 69086 +
734 -17000 -
28883 82993 +
26789 -95195 -
15497 -69834 +
52980 24949 -
22580 -17673 -
29942 60200 -
17840 -29041 -
17981 47755 +
35433 99987 -
44305 -24355 -
31520 -5662 -
18560 95131 +
11955 -97345 +
11502 -50310 -
7113 -37676 -
32141 83056 +
48145 67094 -
51254 28053 -
52951 34893 -
31169 32368 -
27282 2622 -
16476 83582 -
20374 -25064 -
43704 -2189 +
35218 -40752 +
46249 80689 +
35052 -94066 -
44181 72098 -
22328 -78741 -
49602 -73142 +
46673 -23905 -
26294 8422 +
41960 -89194 -
10071 75797 +
32146 -35325 -
17356 76495 +
37137 90506 -
17997 81894 +
28752 90861 +
9540 19446 +
45126 -78424 +
10157 -29119 -
23682 -74513 +
46314 -39799 +
19092 3737 +
32944 17778 -
34279 14009 +
31084 -2343 +
37385 25824 -
11185 -85145 -
37629 79750 +
26566 -62563 -
24188 79217 -
49815 61086 -
16058 -11499 -
49773 -93402 +
47945 71345 -
40238 -70317 -
30001 -16815 -
6859 -128 +
34332 -31135 +
9356 28405 -
45839 56481 +
19770 50413 -
40922 75648 +
20380 96604 -
44405 53628 -
21534 49434 -
39116 56483 -
5693 6368 -
15665 21096 -
47782 -39818 +
20285 -98809 +
21283 -44489 +
6161 -71152 +
24564 -13601 -
12498 -17115 -
39253 28888 +
4789 -83780 -
22718 99895 +
33573 20262 +
9684 -30871 +
1611 -34166 -
12570 23707 +
43607 -54819 -
31825 48294 -
864 -33659 +
3137 56436 +
42069 -97906 +
24621 -61403 +
8770 -88415 +
24156 -77324 +
9140 33857 +
53085 -47252 +
13443 -14470 +
39626 70376 +
47951 13075 +
35880 -69638 +
30496 93354 +
39543 12338 +
2339 -71885 -
1511 50910 +
12922 76746 +
4335 -68125 +
22206 -50318 +
18251 -13595 -
13838 41846 +
12218 -73082 -
40183 79986 -
5099 52526 -
11290 -50419 -
21380 -46351 -
51410 17811 +
26998 -4524 -
39386 36743 -
3463 -81262 -
32465 68319 -
45636 33192 -
15435 -29054 +
22827 -83698 +
37561 73573 -
25772 -82277 -
42825 23842 -
47735 -19752 -
27970 85121 -
31127 59083 -
1211 74929 +
15054 76417 -
15220 44859 +
50822 -31455 -
53923 -79505 +
1796 65697 +
10870 87271 -
461 -30652 +
45618 12530 -
17229 -30424 -
28428 52600 -
9237 90914 -
5234 85315 -
32615 -39169 +
26753 -12444 +
22128 80179 -
36168 5584 -
32417 -66331 -
13011 69364 +
8157 -24247 -
30364 -70366 +
32901 58926 -
20761 -35383 -
3017 8382 -
17239 8358 -
10372 -43374 -
11773 49605 +
42670 19879 -
51880 -78829 +
18647 -60539 +
44093 -9550 +
19627 44240 +
5285 46720 -
31470 57692 -
24794 -27438 -
4244 45931 -
49137 -14601 -
13080 -90793 -
33497 -101 +
36283 -31817 +
48872 58868 +
24443 77459 +
680 24297 -
43151 -25525 -
22691 88632 +
23969 59690 -
25269 -77765 -
37187 53332 -
4118 37943 +
51857 77986 -
38833 -27735 +
34317 25134 -
2986 -61236 +
7505 42376 -
47701 97640 -
40520 -17474 -
9141 48750 -
27668 -24393 +
3767 76882 +
36792 -46248 -
1414 43450 +
8745 51410 +
6676 54985 -
3338 -59314 -
35443 65965 +
28090 -10203 +
34493 60042 +
19785 -97029 -
16299 -54096 +
8411 -21337 -
29415 -21427 +
40918 99779 -
18129 -91202 -
24761 -57986 +
48652 -8728 -
3231 92529 -
23240 -23973 +
14715 -31593 +
21523 29939 +
47786 -1422 +
4796 76962 +
42194 -14044 +
38026 69530 -
7641 -35816 -
41468 -59039 +
50531 48837 -
38199 71991 -
45340 -80529 -
3630 35946 +
30342 73220 -
14621 -36332 +
12709 29892 +
53430 -44713 +
35015 -84904 +
45346 3867 +
4477 -57262 +
1830 -19333 -
28688 -68397 -
10992 -8462 +
34701 64723 +
34621 11625 +
51358 39177 +
39331 -8157 -
22863 -50609 -
28876 60195 -
24243 -98138 +
29253 65732 -
11756 46106 +
864 73166 +
28123 78264 +
30831 -99218 -
48844 -95534 +
24197 78223 -
32448 45423 -
41495 -68745 -
1391 -16413 +
16673 -985 -
36307 -53896 +
42936 -85386 +
6747 -85248 -
36011 -6578 -
38980 -64727 -
25659 30676 +
11910 -36331 +
40906 1692 +
53691 23022 -
53724 1228 -
34572 -15043 +
30173 75038 -
36005 -17614 +
38147 69147 +
43204 -36795 -
5015 -33787 -
13963 -83401 +
10736 66433 -
19787 -31003 +
42693 -68842 +
40986 59401 +
1222 35439 +
2233 -10508 -
50071 76545 +
2319 -94375 +
7373 97226 -
51122 54349 +
30640 3948 -
26523 -86695 -
21535 -98808 +
4506 -24874 +
32024 48024 +
27238 5348 +
8704 -66417 +
31549 -1247 +
11451 -32703 -
39221 86038 -
35618 86226 +
18367 -61804 +
4530 -34580 -
1797 -35964 -
52726 75158 +
35965 -4449 -
16152 -42614 +
35136 72496 +
51481 43419 +
26459 52357 -
45749 -92617 -
20835 -23990 +
3668 60959 -
46683 64809 +
49520 28848 +
49351 -92860 +
30917 -33902 -
33858 54808 +
18407 91407 -
50113 -28522 +
37394 47489 -
49671 59927 -
50938 64681 +
43661 -88147 +
34161 92585 -
14911 60896 +
3678 -67419 -
14910 -69101 +
19070 -51142 +
30717 56912 -
17638 22846 +
4786 -77029 +
27075 58340 -
34302 11454 +
29320 15872 -
17580 52761 -
15431 46237 +
5111 33179 +
21726 -42665 -
53554 45140 +
22462 -30120 +
27544 29675 +
21377 -51697 -
23350 2011 -
15369 40226 -
39353 -47993 +
38638 -60647 -
33050 -58564 -
41834 -75922 -
7975 -30949 -
53013 -89548 +
222 -75952 -
12897 -87883 +
44802 2072 -
25846 40886 -
48230 -74026 +
11365 85699 -
16231 67921 -
43835 -21972 +
42891 -4996 +
21639 -67059 -
19934 -34007 -
14630 91547 -
48976 73228 -
39041 -16422 -
51697 71949 +
19980 -37194 +
27489 -58846 -
7224 72334 -
2692 50379 +
4016 27562 -
44081 -59756 -
10531 -97232 -
31830 3896 +
12321 -71522 +
5105 10653 -
47255 53366 +
18820 -21648 +
39355 63511 -
22830 -77706 -
13627 -64517 +
9682 -36888 +
19819 96017 +
38131 -44440 +
37487 -54311 +
24961 -81106 -
44626 -82918 +
17341 84426 +
22118 -7000 +
36567 -51344 -
46341 -2118 -
42724 39100 +
37673 -97142 +
24969 78688 -
49688 -55369 +
37761 -2000 -
7679 -12411 +
41576 -84318 -
53623 -83530 +
25557 -69543 -
25333 81831 +
18665 -87215 -
49115 -51053 -
47926 2641 -
22858 -81339 -
45427 -23547 +
13200 -53539 +
39662 22145 +
24255 -51366 -
19564 -24041 +
34487 38661 +
33558 64503 -
44779 69083 +
21437 -65928 +
51853 7070 -
20199 61720 -
26089 -71637 -
44295 28878 -
38057 -60199 -
29475 -11905 -
1746 92540 +
20759 -57899 +
21968 85718 -
14806 56431 +
37248 -45361 +
17315 78064 +
13226 -37656 +
2866 71216 +
35013 81362 +
8009 -57554 -
18147 -22701 -
50280 -92575 +
51565 4227 -
34605 77855 +
10433 66942 -
33938 475 +
559 21001 -
16983 79312 +
19877 49384 +
52738 -6838 -
9078 -80312 +
30380 -21750 +
38163 50112 -
31804 -18117 -
43638 83462 +
6645 93851 -
3685 -83241 -
28250 1831 +
29093 31752 +
53656 -85063 -
23797 -12470 +
18600 85845 -
26822 70332 -
51259 60084 -
18757 -5967 +
25377 -85462 +
23647 -86737 +
4087 -67510 -
43601 1450 -
20980 35259 +
1792 -16606 -
44035 83969 -
21822 -54895 -
9437 49216 -
30520 25280 +
22848 -1939 +
32260 -67256 -
26672 -47147 +
14482 29412 -
17662 86645 +
40231 -52958 -
48966 52901 +
17091 -85680 +
37189 -66847 +
2366 -92709 -
47743 -15711 -
42088 35227 +
27965 -80874 -
20135 -80735 -
42153 -91480 +
13592 94625 -
26904 79578 -
19555 -67493 +
50227 8506 +
34087 2034 +
26812 -97007 +
21524 -18748 +
51376 2513 -
44046 -35281 +
34811 26029 -
45801 -24931 -
28429 -46084 -
50277 -54729 -
52300 88997 +
23149 1419 +
16687 63078 +
47849 -2447 -
23585 -52554 +
19634 43668 +
7686 73097 +
13940 -98484 -
53377 -46350 +
19986 47903 -
16375 -35401 -
10618 35703 -
38520 69414 -
43970 17447 +
3502 99258 -
18643 -58747 -
33489 17339 +
6791 5544 +
52181 -70339 +
25795 11167 -
10431 94722 +
22016 67520 +
18454 -33072 +
1419 47365 -
1432 -86849 +
35998 -71248 -
15132 37598 +
25249 -42417 +
31988 58477 +
27033 -21801 +
687 62246 +
1477 -3260 -
46670 -73800 -
30803 -59528 +
42653 -54734 -
35120 96133 +
14635 -25269 -
49587 -72202 -
52928 -65205 +
32935 -79543 -
42704 58697 +
7607 18625 -
52535 -39428 +
36983 -41488 -
19428 3232 +
20875 42646 -
26337 56661 +
10171 -79476 +
18132 -71565 +
4944 2454 +
4770 -27467 +
25599 -1067 +
53140 -75869 -
38076 -18543 +
18631 -8662 +
22422 27088 -
17521 -10236 +
14590 74937 -
47063 -83667 +
30474 -78790 -
48213 -6513 -
12397 -27364 +
20235 86225 -
12595 -44190 +
11343 68258 -
9921 71157 +
9369 -19642 -
40082 50548 +
16560 -73779 -
468 -63747 -
23841 -73038 -
34942 11207 +
44403 21608 +
42788 -44551 +
35794 -48072 -
17093 91969 +
2768 -77473 +
8255 10367 +
19268 72759 -
28169 -88204 -
45116 -2379 -
13852 -99117 -
28440 -21631 +
50700 39601 -
10937 -49804 +
51526 67776 -
19774 -82862 +
2223 -71633 +
4253 71761 -
38225 15440 -
40102 -56426 +
29109 -837 +
35852 -86272 -
32736 -58734 -
42555 92316 +
37358 -23256 +
32613 72371 -
32012 -73203 -
50558 -3282 -
34291 1797 -
40238 74203 -
8817 -80682 +
7419 37243 -
10617 -63960 -
26915 -13957 -
42190 79135 +
11166 69282 +
3124 -41806 -
2673 -41773 +
9548 -52757 -
37590 6640 +
51345 54021 +
33431 -68639 -
50256 93686 +
7737 -71520 -
47873 16636 -
1268 -26683 +
1160 -35054 -
42289 -13693 +
26407 63732 +
48736 -41994 +
53496 -78307 +
12553 -62848 +
17679 -39129 +
23204 -4014 +
40021 -24897 -
14361 58494 +
28820 61160 -
3963 -5200 -
48310 29019 +
52711 -20393 -
29532 24815 +
30649 -5172 -
36968 12171 +
42868 28260 +
6282 36532 -
21087 44018 +
10456 41923 +
18057 14705 -
44383 -1761 -
2894 8178 -
9105 -47978 -
28437 30279 -
49629 -44426 +
40217 15503 -
14301 -93699 +
43931 -91492 +
6273 -99303 +
49893 54883 -
28960 -66613 +
52547 80392 -
3796 -30066 +
15189 -67879 -
34170 -37395 +
23255 76373 +
16510 -6288 +
11636 -91847 -
20062 18664 +
51762 91646 +
49419 62354 +
48422 63326 -
53506 -6746 -
48704 -82646 -
36943 -17750 +
35576 -16942 -
19793 -69989 +
48920 34784 -
30167 25385 -
39489 31343 -
38192 45623 +
6585 11873 +
21245 -87702 -
45986 48530 +
53882 45402 +
16748 35744 +
2162 86040 -
2397 -49344 -
39441 47208 -
12928 -71922 +
41307 74086 -
36974 -38958 -
2569 23804 -
854 98417 +
53746 7881 +
45815 -89533 -
35679 54778 -
4506 -63047 -
28025 46069 -
43914 4262 +
2441 -86988 +
27311 -91952 -
48906 -98202 +
12252 68944 -
20969 87028 +
47813 96810 +
4107 77957 -
24583 48125 -
20044 27330 +
48631 6385 -
26746 -58295 +
28621 -55307 +
6376 -31708 -
50730 3091 +
29395 -90114 +
51721 -13760 +
32125 -76291 +
38448 -48042 -
47070 87002 -
26369 84721 -
50185 -72271 -
15175 -35010 -
4403 83066 -
49169 -3702 -
6249 -15221 -
13160 -63324 +
45127 -40440 +
27692 -51100 -
45425 21707 -
49951 -32927 +
47873 280
38799 95891 -
37526 -15313 +
24512 -25636 -
36815 -60027 -
10334 4333 +
19721 -8221 -
46857 -80984 +
20700 48548 -
39083 45694 -
27602 -26646 -
37760 41828 -
10673 25471 +
32000 82671 +
21019 62825 -
36639 -48920 +
35670 -82765 -
7074 -89031 -
6066 -11369 +
20887 10201 -
28654 -96965 -
44057 82494 -
15155 -1000 -
3565 82198 +
22217 53314 -
26466 81970 +
17276 17386 +
1570 -5167 -
5254 -85375 -
13918 99431 -
47799 -83798 +
6385 12379 -
15238 -44485 +
29316 15790 +
8507 16818 +
17280 11065 -
12395 -33260 +
23494 -23005 +
35948 -59549 +
33838 -35805 -
18674 -48042 -
25052 -66818 +
6525 -76148 +
47559 62414 -
34277 65880 -
19870 -81342 -
33735 -40132 +
32554 83282 +
26739 -10311 +
17646 97733 -
42684 65181 -
3523 83123 -
8884 -47232 +
18967 67231 +
44921 91552 -
9633 -15216 -
14870 26344 -
177 -23777 +
2239 -29920 -
17029 66968 -
43456 -20100 -
25492 49459 +
19365 -36134 -
2920 -43185 -
29557 -98622 +
10647 -90277 -
6977 -53125 -
7267 -27931 +
13293 85842 +
9688 34894 +
29864 43412 -
9659 -2661 -
24159 9091 -
16285 45904 -
9960 6773 -
3882 12647 -
35391 -12180 -
31705 50765 +
28400 -4027 -
31817 -67643 -
33313 -67100 -
27686 93820 +
41809 -283 -
6714 68702 -
40175 4679 +
14024 16526 +
31171 -10086 +
11305 -31744 -
44656 37723 -
31247 -13339 -
39295 15261 +
7973 4572 +
19537 14547 +
13172 67235 -
19284 73901 +
27584 11244 -
13457 98150 -
23607 91980 +
35250 -6441 +
23785 29373 +
21689 -86064 -
11855 59822 +
34355 36419 -
6316 36040 +
17430 7044 -
40056 42421 +
34123 -44828 -
6936 -81500 +
1634 -61129 -
41957 5582 +
21431 -28232 -
2553 15773 -
19709 -69294 +
32000 -83253 +
22570 71556 +
15219 94831 +
23179 6135 -
33900 1820 +
36435 6608 -
45786 -77392 +
35069 27701 -
30245 -16553 +
1205 -41235 +
7759 57427 +
33142 -71640 -
11565 -8634 +
