74
13491 325
9487 -59919 +
12684 48716 -
11075 -98001 -
1160 -91985 +
10920 11834 -
2024 13910 -
1238 43895 -
10412 62876 +
9847 40624 -
10664 -73523 -
5029 45043 +
11011 -59610 -
4097 69996 +
6595 14991 +
1141 65828 -
6490 -14362 -
4743 34142 +
7059 28873 -
13218 62514 +
8613 33840 -
9045 17044 +
11024 -20634 -
9069 28053 +
12169 11977 -
8027 76901 +
4262 -93186 -
11362 -8935 +
7085 -80238 +
8111 -52792 -
5863 71205 +
11667 -57333 -
12952 85119 -
719 31647 +
9969 96248 -
4331 94742 -
6735 98465 -
11348 -42071 +
12539 81637 +
4778 51335 -
6997 19003 +
7372 46851 +
980 57943 -
4356 15459 -
5795 65865 +
578 10220 +
11464 -15268 +
7934 97142 +
5452 70334 +
2140 11437 +
7174 -47737 +
12761 -4223 -
8104 -24833 +
1054 86346 +
12338 -16540 +
3707 83564 -
1132 -70770 +
668 -1032 -
5822 3147 -
2273 58634 -
12379 -11168 +
8609 -22663 -
2248 77913 +
5465 -22209 +
12372 81759 -
6678 -64571 -
4881 -58781 -
1954 37418 +
7081 81919 +
4537 11593 +
553 64935 -
4223 90629 +
223 61043 +
10678 -96377 -
11411 -74056 +
4357 3521 +
440 88128 -
4934 88528 +
10816 83476 +
11518 -91483 -
308 -10891 +
11146 -60812 -
11380 19831 -
2014 84022 -
470 -88027 -
12206 -16560 +
2061 83172 -
6438 -88639 +
7059 89304 +
13125 1219 +
7730 -28471 +
3450 15875 -
925 -61727 +
2877 33253 -
174 -63795 +
135 -46433 +
6147 18825 -
5814 -6364 +
7636 52236 +
7382 74942 +
3782 63470 +
9314 -49797 -
7953 -44732 +
12784 21067 +
12933 -5200 -
7720 -32501 +
7663 -46688 +
4440 41598 -
8374 45996 -
6545 -10444 -
9667 -41112 -
3742 48790 +
7576 -69963 +
3893 89724 -
8475 12458 -
4360 21810 -
4816 66716 +
9780 -13645 -
1217 -94977 -
7491 10016 -
11339 96702 -
4320 39461 +
3700 98507 +
12725 -10100 -
5027 62648 -
8951 98248 -
3146 36805 -
7855 16147 -
9132 56587 -
4862 35931 +
6693 -73795 -
717 71788 -
4504 26799 +
1376 2075 +
3502 -53012 +
11445 28402 +
11244 -11976 -
5325 80079 +
5280 86507 -
1611 -7515 -
1503 68388 -
10090 68663 -
2311 -6962 +
1055 7316 +
6472 15797 +
4995 -80011 +
6024 33576 +
2991 -10951 +
1758 -40398 -
8965 -59312 +
5221 33690 -
5359 55164 +
7441 -88072 -
5054 16085 +
12573 -7736 +
9351 -24748 -
4999 -25355 +
375 89438 -
11212 -88988 +
219 31398 +
10080 -44967 +
6580 22420 -
4997 -2494 +
11124 72760 -
13247 -822 +
8326 58990 +
6511 -59353 +
2606 -43569 -
3131 -44905 +
36 -81302 -
93 52178 +
11773 16211 -
205 16847 +
8834 39641 +
3172 19210 -
8008 563 -
8906 -21012 -
714 37806 -
11571 -75851 -
3705 -4458 -
13414 -51472 +
1199 33266 +
13304 29958 +
9172 -9686 +
13192 -70853 +
8869 -49895 +
5992 26100 +
10324 63361 -
12862 -97833 -
1659 4533 -
13245 -20928 +
6748 -38687 +
8989 -63304 +
9861 51300 +
7881 20919 +
9860 63438 -
8857 -45170 -
3023 -8146 +
6818 -93635 -
12773 3928 -
101 -33141 +
2067 68121 +
4843 -72277 +
4164 -64249 -
8297 335 -
10020 -86533 -
5266 89935 -
12919 40799 +
3948 9419 -
5267 42870 +
10872 -57421 -
4201 99597 +
8217 -84816 -
7284 44917 -
753 10632 +
6429 76787 -
11859 -56463 +
11674 55288 -
12510 -82879 +
2663 -76445 -
2161 -8189 -
3823 59382 +
12856 -55257 -
3633 67570 +
11959 24042 -
448 75104 +
6153 -60624 +
8924 -76574 +
11372 -85372 +
12956 -24665 +
3959 79424 -
5820 83294 -
471 81733 -
13265 -44350 +
5859 98386 +
8275 -21823 -
10894 18541 -
9530 75198 -
7822 -22672 +
2970 -14113 -
3234 -80285 +
11879 55106 +
335 61954 +
284 -29847 -
4375 -3848 +
8871 -45685 -
11322 -67094 +
12833 98745 +
7942 76472 +
4775 39005 +
5839 -22358 -
2797 34773 +
5068 61459 +
13101 -29805 +
5782 82739 +
13398 28227 -
7272 83990 -
6619 66334 +
4525 86322 -
12795 66134 -
4050 -13075 -
5056 -44054 +
2636 18862 +
11359 51187 +
13229 -22739 +
10499 48347 +
544 -69341 +
494 -80557 -
10459 -87824 -
4031 92027 +
11600 -37629 +
8851 -82838 -
13113 21347 +
8835 -34337 -
8751 12504 -
9565 62997 +
4368 83305 -
4178 23228 -
6592 -97764 +
13233 33858 -
663 -68164 -
1768 -39762 -
6278 -61355 +
7652 -36070 -
13276 76067 -
11905 47495 -
4552 -3707 -
2768 -60253 -
10379 26599 -
10059 877 -
12494 -19192 +
2411 -51841 -
2232 92266 +
9698 -93382 -
11043 45541 -
10711 5265 +
1930 45302 +
5828 -78145 +
1577 -61453 +
10300 61001 +
12173 -65653 +
11738 7434 +
7381 -11025 -
7058 2348 -
4130 -62819 +
2454 -14634 -
10042 61868 -
11455 57857 +
12963 47909 +
271 43975 -
2624 -46671 +
116 -85394 -
436 71117 -
9694 50655 +
11162 -20209 -
9323 -4068 +
